player,runs,0,1,2,3,4,6,-1
SK Raina,4548,1163,1377,242,10,402,174,3369
V Kohli,4423,1287,1410,242,11,384,160,3494
RG Sharma,4207,1185,1379,177,5,354,173,3274
G Gambhir,4132,1318,1313,245,15,484,58,3433
DA Warner,4014,1124,997,207,13,401,160,2902
RV Uthappa,3778,1165,1087,191,12,377,125,2960
CH Gayle,3651,1178,718,70,3,297,266,2532
S Dhawan,3561,1210,1137,168,16,401,71,3005
MS Dhoni,3560,926,1085,251,11,251,156,2680
AB de Villiers,3486,778,980,187,12,287,158,2402
AM Rahane,3057,1001,1039,168,14,320,60,2602
YK Pathan,2922,765,781,136,5,240,149,2076
KD Karthik,2903,862,964,168,6,286,71,2360
BB McCullum,2755,985,690,102,3,277,124,2181
V Sehwag,2728,737,558,96,2,334,106,1833
SR Watson,2628,822,638,101,8,258,122,1949
Yuvraj Singh,2591,898,690,113,3,205,141,2050
M Vijay,2511,930,663,155,17,237,89,2092
SE Marsh,2489,736,724,99,6,269,78,1913
JH Kallis,2427,982,888,113,8,255,44,2291
AT Rayudu,2416,693,853,133,1,205,79,1964
DR Smith,2385,832,521,84,3,245,117,1803
KA Pollard,2354,654,599,110,5,158,148,1674
SR Tendulkar,2334,874,721,117,7,296,29,2044
PA Patel,2322,933,677,109,8,297,35,2060
MK Pandey,2223,737,772,121,7,197,65,1901
R Dravid,2174,819,681,118,1,269,28,1918
AC Gilchrist,2069,737,417,66,4,239,92,1555
JP Duminy,1993,535,769,123,6,123,78,1634
MEK Hussey,1977,643,648,96,11,198,52,1648
DPMD Jayawardene,1808,619,565,93,4,200,40,1522
RA Jadeja,1732,521,625,125,5,125,57,1458
SPD Smith,1713,424,592,116,5,151,45,1333
KC Sangakkara,1687,552,563,81,5,195,27,1424
MK Tiwary,1648,552,615,75,7,152,39,1444
AJ Finch,1604,554,407,77,3,170,59,1270
DA Miller,1563,382,464,106,1,104,78,1135
WP Saha,1557,450,472,107,3,130,57,1219
NV Ojha,1553,645,437,64,10,121,79,1356
S Badrinath,1441,493,484,85,1,154,28,1245
SV Samson,1426,453,456,81,6,112,57,1165
BJ Hodge,1400,439,452,89,8,122,43,1153
SC Ganguly,1349,662,427,54,3,137,42,1326
DJ Hussey,1322,425,452,72,2,90,60,1101
F du Plessis,1295,359,453,75,8,110,38,1043
SS Tiwary,1276,425,464,82,2,93,45,1111
DJ Bravo,1262,419,365,93,5,102,48,1032
GJ Maxwell,1229,305,241,56,0,96,82,780
KK Nair,1158,384,313,66,4,135,26,929
TM Dilshan,1153,492,335,54,2,140,24,1047
IK Pathan,1150,373,407,76,2,88,38,985
Mandeep Singh,1112,395,319,69,2,134,18,938
ML Hayden,1107,367,257,48,2,121,44,839
LMP Simmons,1079,402,269,52,2,109,44,878
LRPL Taylor,1017,334,334,62,3,66,46,847
KP Pietersen,1001,290,284,48,4,91,40,758
Y Venugopal Rao,985,355,341,53,1,77,37,865
JA Morkel,975,252,288,55,1,61,55,712
A Symonds,974,308,288,66,4,74,41,781
CL White,971,274,335,49,2,76,38,774
MC Henriques,969,272,310,70,3,87,27,769
M Vohra,957,333,219,58,9,95,35,750
KM Jadhav,893,223,306,49,1,72,33,684
HH Gibbs,886,410,264,45,3,83,31,837
EJG Morgan,854,312,255,49,3,72,34,725
MA Agarwal,814,321,227,28,0,82,33,692
SS Iyer,807,281,228,34,1,79,32,655
Harbhajan Singh,799,258,183,33,0,76,41,591
MS Bisla,798,375,207,36,3,93,23,737
ST Jayasuriya,768,292,128,22,7,84,39,573
STR Binny,766,236,241,47,7,59,29,619
GC Smith,739,320,228,39,1,94,9,691
Q de Kock,726,244,188,19,3,90,21,566
KL Rahul,725,217,246,41,3,61,24,592
AD Mathews,724,207,267,49,3,44,29,599
TL Suman,676,255,205,43,3,55,26,587
AM Nayar,672,234,230,47,1,55,20,588
GJ Bailey,663,207,222,44,1,59,19,552
SA Yadav,608,174,196,32,2,54,21,479
AR Patel,606,169,224,39,0,34,28,494
JD Ryder,604,200,145,30,3,69,19,466
HM Amla,577,150,164,22,1,60,21,418
AD Russell,574,128,114,23,0,48,37,350
RR Pant,564,134,145,24,1,47,30,381
RS Bopara,531,175,204,27,7,39,16,468
JC Buttler,528,152,125,21,0,50,26,375
JP Faulkner,527,145,160,41,1,36,23,406
CJ Anderson,521,190,128,25,1,40,30,414
PP Chawla,515,207,163,33,0,49,15,467
M Manhas,514,197,191,44,1,43,10,486
OA Shah,506,149,168,29,2,34,23,405
PC Valthaty,505,230,101,20,0,61,20,432
Shakib Al Hasan,500,140,170,32,0,44,15,401
KH Pandya,480,108,105,31,3,46,20,313
CH Morris,439,78,113,28,0,33,23,275
N Rana,437,151,134,13,1,31,25,355
NLTC Perera,424,129,121,26,1,23,26,326
SA Asnodkar,423,164,105,17,0,56,10,352
DT Christian,420,119,162,28,2,22,18,351
JR Hopes,417,120,114,19,1,49,11,314
KS Williamson,411,108,141,28,1,35,11,325
J Botha,409,138,143,37,2,39,5,364
HH Pandya,406,128,113,10,3,24,28,306
LR Shukla,405,152,137,20,0,33,16,358
AL Menaria,401,152,149,24,0,24,18,367
MV Boucher,394,116,127,29,1,32,13,318
RA Tripathi,391,113,88,13,1,43,17,275
CA Pujara,390,200,133,15,1,50,4,403
Azhar Mahmood,388,124,116,19,0,39,13,311
CA Lynn,384,103,84,19,0,31,23,260
DB Ravi Teja,375,124,136,18,3,35,9,325
DJ Hooda,373,92,117,28,0,20,20,277
S Sohal,368,158,82,17,1,34,18,311
P Negi,353,115,102,24,1,26,16,284
R Bhatia,342,110,119,23,1,24,13,290
Gurkeerat Singh,342,107,112,16,0,36,9,280
A Mishra,340,168,162,20,0,27,5,382
P Kumar,340,158,102,24,0,22,17,323
AP Tare,339,142,72,19,1,40,11,285
JEC Franklin,327,124,129,22,0,25,9,309
RN ten Doeschate,326,80,102,15,0,26,15,238
Ishan Kishan,319,113,85,10,0,34,13,255
KV Sharma,317,116,114,22,1,18,14,285
BA Stokes,316,70,102,18,0,22,15,227
R Vinay Kumar,304,117,108,31,0,20,9,285
DB Das,304,124,92,12,0,23,16,267
LA Pomersbach,302,109,85,18,1,25,13,251
UBT Chand,300,170,88,15,0,32,9,314
DJG Sammy,295,108,94,15,1,15,18,251
Y Nagar,285,113,109,18,2,20,9,271
VVS Laxman,282,123,100,10,0,33,5,271
B Chipli,280,110,100,7,4,28,7,256
A Ashish Reddy,280,61,83,20,1,16,15,196
GH Vihari,280,142,133,23,1,23,1,323
MJ Lumb,278,96,41,9,1,45,6,198
SP Narine,271,94,47,4,0,36,12,193
R Sathish,270,92,89,24,3,22,6,236
M Kaif,259,120,86,23,1,22,6,258
SM Katich,241,85,56,15,1,26,8,191
